================================================================================
EXTRACTION COMPLÈTE DU FICHIER: belge.vnd
================================================================================

INFORMATIONS DU FICHIER:
--------------------------------------------------------------------------------
Nom:              belge.vnd
Taille:           75,760 bytes
Chaînes extraites: 1688
Variables:        287
Conditions:       1046
Commandes:        4

TOUTES LES CHAÎNES EXTRAITES:
--------------------------------------------------------------------------------
@00000009: VNFILE
@00000013: 2.13
@0000001F: Europeo
@0000002A: Sopra Multimedia
@0000003E: 5D51F233
@0000006E: ..\VnStudio\vnresmod.dll
@0000008E: COMPTEUR1
@0000009F: COMPTEUR2
@000000B0: COMPTEUR3
@000000C1: SACADOS
@000000D0: JEU
@000000DB: RAQUETTE
@000000EB: REPONSEM
@000000FB: AFFICHEM
@0000010B: PIECE
@00000118: CPAYS
@00000125: CMENU1
@00000133: CMENU2
@00000141: CMENU3
@0000014F: BIDON
@0000015C: MILLEEURO
@0000016D: CALC
@00000179: TELEPHONE
@0000018A: ACTIVE
@00000198: FRANCS
@000001A6: DELPHITEST1
@000001B9: DELPHITEST2
@000001CC: DICO
@000001D8: BEETHOVEN
@000001E9: PHOTO
@000001F6: SCOTCH
@00000204: CLE
@0000020F: QUESTION
@0000021F: REPONSE
@0000022E: NOTE
@0000023A: MAUVAISENOTE
@0000024E: TAILLEPIERRE
@00000262: EXPO
@0000026E: CHEVAL
@0000027C: SABOT2
@0000028A: RIZ
@00000295: CAPITALE
@000002A5: CISEAUX
@000002B4: MENU
@000002C0: PIZZA
@000002CD: COSTUME
@000002DC: LOUPE
@000002E9: PALME
@000002F6: BOUEE
@00000303: RESSORT
@00000312: NUMERO
@00000320: MATH
@0000032C: SCORE
@00000339: HARPON
@00000347: MASQUE
@00000355: BOUT_PLO
@00000365: BALLON1
@00000374: PLONGE
@00000382: GRECQUESTION
@00000396: GRECREPONSE
@000003A9: FIOLEGRECE
@000003BB: RUBAN
@000003C8: MASSE
@000003D5: ORGUE
@000003E2: GUITARE
@000003F1: PIER_BERLIN
@00000404: BUS
@0000040F: LEVRIERNUMERO
@00000424: LEVRIERPARI
@00000437: LEVRIERRESULTAT
@0000044E: JUSTEPRIXOBJ
@00000462: JUSTEPRIXEURO
@00000477: JUSTEPRIXCLIC
@0000048C: JUSTEPRIX1
